Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Dragan Bender,PHX,19,42,13,29,13.1,37.3,62.7,38.3,5.7,59.6,17.7,2.1,21.3,32.6,59.3,40.7,100,0,80,20
Draymond Green,GSW,27,75,62,13,32.6,59.7,40.3,49.3,1.8,31.1,21.4,19.6,17.5,47.5,71.1,28.9,97.5,2.5,78.9,21.1
Dwight Howard,ATL,31,73,36,37,29.8,99.7,0.3,77.5,2.6,0,5.6,22.5,11.4,74.9,66.1,33.9,0,0,66.1,33.9
Dwight Powell,DAL,25,75,29,46,17,83.8,16.2,69.6,10.9,10.3,6.1,20,15.2,58.7,83.7,16.3,100,0,85.2,14.8
Dwyane Wade,CHI,35,58,27,31,30.1,84.5,15.5,67.1,27.1,12.5,18.7,20.4,17.7,40,33,67,64.4,35.6,36.5,63.5
Ed Davis,POR,27,46,19,27,17.2,100,0,75,0,0,1.5,25,11.5,75,66.7,33.3,0,0,66.7,33.3
Edy Tavares,ATL,25,1,1,0,3.6,100,0,100,0,0,0,0,0,100,100,0,0,0,100,0
Elfrid Payton,ORL,23,80,28,52,29.5,84,16,74.4,11,11.2,21.3,14.4,14,63.3,13,87,89.5,10.5,20,80
Elijah Millsap,PHX,29,1,1,0,12,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Mudiay,DEN,21,55,25,30,25.6,67.7,32.3,50.4,9,27.9,15.8,21.7,15.8,41.5,36.8,63.2,91.1,8.9,51.4,48.6
Enes Kanter,OKC,24,70,42,28,21.4,94.7,5.3,76.8,8.7,1.5,9.3,21.8,12.4,68.1,49.5,50.5,100,0,50.1,49.9
Eric Bledsoe,PHX,27,66,22,44,33,70,30,49.6,13.1,22.4,20.1,27.9,14.1,36.5,11.6,88.4,51,49,20.7,79.3
Eric Gordon,HOU,28,73,49,24,31.1,35,65,27.2,2.5,60.8,15,11.9,11.9,24.7,43.8,56.2,84.2,15.8,68,32
Ersan Ilyasova,ATL,29,80,34,46,26.4,54.6,45.4,44.9,14.5,40.2,14.4,14.9,16.4,30.4,73.2,26.8,94.3,5.7,81.1,18.9
E'Twaun Moore,NOP,28,72,31,41,25.1,66.4,33.6,58.8,16.4,33.1,18.1,8,17.4,42.5,42,58,88.3,11.7,54.6,45.4
Evan Fournier,ORL,24,66,22,44,33,61.1,38.9,47.9,9.1,32.9,12.9,19.3,14.8,38.7,45.4,54.6,87.2,12.8,58.5,41.5
Evan Turner,POR,28,63,33,30,25.5,78.2,21.8,69.1,27.7,16,10.3,14.9,9.9,41.5,17.9,82.1,90,10,27.6,72.4
Frank Kaminsky,CHA,24,73,31,42,26.1,55.6,44.4,46.2,6.2,40.2,2.5,13.5,14.1,40,62.5,37.5,100,0,76.3,23.7
Fred VanVleet,TOR,23,36,24,12,7.6,73.1,26.9,51,13.7,32.4,16.7,16.7,28.4,37.3,26.9,73.1,81.8,18.2,43.2,56.8
Garrett Temple,SAC,30,64,24,40,26.6,48.7,51.3,39.9,12.5,48.4,17.5,11.7,20,27.4,51.5,48.5,91.3,8.8,69.3,30.7
Gary Harris,DEN,22,56,28,28,31.2,60.4,39.6,50.8,6,37.2,19.1,12,17.3,44.8,66.8,33.2,97.1,2.9,76.8,23.2
Gary Neal,ATL,32,2,1,1,9.2,71.4,28.6,0,0,0,0,100,100,0,0,0,0,0,0,0
Gary Payton II,MIL,24,4,1,3,16.5,61.1,38.9,70.6,11.8,17.6,11.8,11.8,23.5,58.8,66.7,33.3,100,0,71.4,28.6
George Hill,UTA,30,47,31,16,32,62,38,47.7,15.8,33.2,9,19.1,12.9,31.9,24.7,75.3,65.9,34.1,37.8,62.2
Georges Niang,IND,23,23,11,12,4,66.7,33.3,76.2,0,14.3,9.5,9.5,28.6,76.2,62.5,37.5,100,0,66.7,33.3
Georgios Papagiannis,SAC,19,20,6,14,15,98.9,1.1,91.4,11.4,0,0,8.6,13.3,80,56.3,43.8,0,0,56.3,43.8
Gerald Green,BOS,31,46,31,15,11.2,52.5,47.5,42.6,14.8,45.5,10.2,11.9,11.5,27.9,57.7,42.3,81.1,18.9,67.4,32.6
Gerald Henderson,PHI,29,70,24,46,23.1,68.8,31.2,52.1,22.4,27.6,16.1,20.2,18.3,29.8,54.7,45.3,90,10,63.9,36.1
Giannis Antetokounmpo,MIL,22,79,41,38,35.6,85.6,14.4,66.1,9.1,8.1,23.4,25.9,20.7,57,42,58,71.4,28.6,44.2,55.8
Glenn Robinson III,IND,23,69,35,34,20.7,63,37,52,20.5,35.1,16,12.9,19.1,31.5,64.2,35.8,98,2,74.7,25.3
Goran Dragic,MIA,30,71,38,33,33.6,73.8,26.2,56,14.6,24,16.9,20.1,16.8,41.4,20.6,79.4,66.1,33.9,30.7,69.3
Gordon Hayward,UTA,27,72,45,27,34.6,67.5,32.5,49,15.2,28.2,11.5,22.8,17.1,33.8,42.9,57.1,74.5,25.5,51.7,48.3
Gorgui Dieng,MIN,27,80,31,49,32.3,93.5,6.5,76.9,28.8,6.1,7.3,17.1,14.3,48,77.6,22.4,93.8,6.3,78.4,21.6
Greg Monroe,MIL,26,79,41,38,22.5,99.7,0.3,81.5,8.6,0,7,18.5,15.2,72.9,58.1,41.9,0,0,58.1,41.9
Greivis Vasquez,BKN,30,3,1,2,12.9,62.5,37.5,28.6,28.6,42.9,71.4,28.6,42.9,0,0,100,0,100,0,100
Harrison Barnes,DAL,24,79,32,47,35.5,82.7,17.3,68.6,28.1,15.4,4.6,15.9,12.3,40.6,43.4,56.6,94.9,5.1,50.1,49.9
Hassan Whiteside,MIA,27,75,37,38,32.6,100,0,83,8.6,0,2.2,17,12.2,74.5,58.2,41.8,0,0,58.2,41.8
Henry Ellenson,DET,20,17,8,9,6.5,44,56,40,13.3,53.3,6.7,6.7,17.8,26.7,66.7,33.3,100,0,82.4,17.6
Hollis Thompson,NOP,26,40,12,28,18.8,52.5,47.5,43.9,9.8,46.8,6.3,9.3,9.8,34.1,73.3,26.7,96.9,3.1,83.1,16.9
Ian Clark,GSW,26,75,62,13,14.6,62.5,37.5,56.5,15.8,35.2,14.2,8.3,13.5,40.8,66.7,33.3,96.7,3.3,75.5,24.5
Ian Mahinmi,WAS,30,30,18,12,17.8,100,0,74.3,0,0,5.4,25.7,9,74.3,71,29,0,0,71,29
Iman Shumpert,CLE,26,74,48,26,25.2,45.6,54.4,36.3,18.7,51.7,11.9,11.9,14.1,17.6,37.4,62.6,88.3,11.7,62.2,37.8
Isaiah Canaan,CHI,25,38,18,20,15.4,45.9,54.1,43.2,13.6,40.9,19.9,15.9,22.7,29.5,36.8,63.2,91.7,8.3,58.1,41.9
Isaiah Taylor,HOU,22,2,2,0,13.6,50,50,66.7,66.7,0,0,33.3,0,0,100,0,0,0,100,0
Isaiah Thomas,BOS,28,74,49,25,34,56.3,43.7,39.6,6.7,33.5,15,26.9,13.2,33,34.1,65.9,60.6,39.4,43.6,56.4
